date,cases,deaths,week
2020-10-26,9.0,0.0,2020-10-26
2020-10-27,8.0,0.0,2020-10-26
2020-10-28,5.0,0.0,2020-10-26
2020-10-29,14.0,0.0,2020-10-26
2020-10-30,11.0,0.0,2020-10-26
2020-10-31,0.0,0.0,2020-10-26
2020-11-01,23.0,0.0,2020-10-26
2020-11-02,2.0,0.0,2020-11-02
2020-11-03,14.0,0.0,2020-11-02
2020-11-04,26.0,0.0,2020-11-02
2020-11-05,32.0,0.0,2020-11-02
2020-11-06,70.0,1.0,2020-11-02
2020-11-07,33.0,0.0,2020-11-02
2020-11-08,47.0,0.0,2020-11-02
2020-11-09,43.0,1.0,2020-11-09
2020-11-10,61.0,0.0,2020-11-09
2020-11-11,95.0,1.0,2020-11-09
2020-11-12,44.0,0.0,2020-11-09
2020-11-13,62.0,0.0,2020-11-09
2020-11-14,52.0,0.0,2020-11-09
2020-11-15,31.0,2.0,2020-11-09
2020-11-16,29.0,0.0,2020-11-16
2020-11-17,55.0,0.0,2020-11-16
2020-11-18,57.0,0.0,2020-11-16
2020-11-19,132.0,0.0,2020-11-16
2020-11-20,66.0,0.0,2020-11-16
2020-11-21,46.0,0.0,2020-11-16
2020-11-22,21.0,0.0,2020-11-16
2020-11-23,23.0,0.0,2020-11-23
2020-11-24,70.0,0.0,2020-11-23
2020-11-25,68.0,0.0,2020-11-23
2020-11-26,52.0,0.0,2020-11-23
2020-11-27,7.0,0.0,2020-11-23
2020-11-28,69.0,1.0,2020-11-23
2020-11-29,48.0,0.0,2020-11-23
2020-11-30,44.0,0.0,2020-11-30
2020-12-01,45.0,2.0,2020-11-30
2020-12-02,64.0,1.0,2020-11-30
2020-12-03,29.0,2.0,2020-11-30
2020-12-04,53.0,2.0,2020-11-30
2020-12-05,28.0,2.0,2020-11-30
2020-12-06,23.0,0.0,2020-11-30
2020-12-07,29.0,0.0,2020-12-07
2020-12-08,46.0,1.0,2020-12-07
2020-12-09,49.0,4.0,2020-12-07
2020-12-10,37.0,3.0,2020-12-07
2020-12-11,46.0,4.0,2020-12-07
2020-12-12,33.0,2.0,2020-12-07
2020-12-13,21.0,3.0,2020-12-07
2020-12-14,16.0,0.0,2020-12-14
2020-12-15,45.0,0.0,2020-12-14
2020-12-16,37.0,1.0,2020-12-14
2020-12-17,38.0,3.0,2020-12-14
2020-12-18,37.0,0.0,2020-12-14
2020-12-19,32.0,1.0,2020-12-14
2020-12-20,20.0,0.0,2020-12-14
2020-12-21,15.0,0.0,2020-12-21
2020-12-22,34.0,0.0,2020-12-21
2020-12-23,18.0,1.0,2020-12-21
2020-12-24,31.0,1.0,2020-12-21
2020-12-25,12.0,2.0,2020-12-21
2020-12-26,16.0,1.0,2020-12-21
2020-12-27,13.0,2.0,2020-12-21
2020-12-28,12.0,3.0,2020-12-28
2020-12-29,44.0,0.0,2020-12-28
2020-12-30,37.0,2.0,2020-12-28
2020-12-31,37.0,0.0,2020-12-28
2021-01-01,24.0,1.0,2020-12-28
2021-01-02,17.0,0.0,2020-12-28
2021-01-03,21.0,1.0,2020-12-28
2021-01-04,22.0,0.0,2021-01-04
2021-01-05,22.0,5.0,2021-01-04
2021-01-06,34.0,3.0,2021-01-04
2021-01-07,41.0,1.0,2021-01-04
2021-01-08,36.0,0.0,2021-01-04
2021-01-09,56.0,1.0,2021-01-04
2021-01-10,28.0,0.0,2021-01-04
2021-01-11,32.0,0.0,2021-01-11
2021-01-12,51.0,1.0,2021-01-11
2021-01-13,47.0,0.0,2021-01-11
2021-01-14,35.0,0.0,2021-01-11
2021-01-15,33.0,2.0,2021-01-11
2021-01-16,23.0,0.0,2021-01-11
2021-01-17,15.0,0.0,2021-01-11
2021-01-18,16.0,0.0,2021-01-18
2021-01-19,23.0,0.0,2021-01-18
2021-01-20,30.0,0.0,2021-01-18
2021-01-21,34.0,2.0,2021-01-18
2021-01-22,62.0,0.0,2021-01-18
2021-01-23,27.0,0.0,2021-01-18
2021-01-24,7.0,0.0,2021-01-18
2021-01-25,20.0,1.0,2021-01-25
2021-01-26,27.0,1.0,2021-01-25
2021-01-27,17.0,1.0,2021-01-25
2021-01-28,17.0,0.0,2021-01-25
2021-01-29,22.0,1.0,2021-01-25
2021-01-30,15.0,1.0,2021-01-25
2021-01-31,9.0,0.0,2021-01-25
2021-02-01,10.0,0.0,2021-02-01
2021-02-02,16.0,0.0,2021-02-01
2021-02-03,18.0,0.0,2021-02-01
2021-02-04,13.0,1.0,2021-02-01
2021-02-05,1.0,0.0,2021-02-01
2021-02-06,17.0,1.0,2021-02-01
2021-02-07,2.0,2.0,2021-02-01
2021-02-08,10.0,0.0,2021-02-08
2021-02-09,4.0,0.0,2021-02-08
2021-02-10,14.0,0.0,2021-02-08
2021-02-11,11.0,0.0,2021-02-08
2021-02-12,7.0,0.0,2021-02-08
2021-02-13,8.0,0.0,2021-02-08
2021-02-14,8.0,0.0,2021-02-08
2021-02-15,1.0,0.0,2021-02-15
2021-02-16,10.0,0.0,2021-02-15
2021-02-17,2.0,1.0,2021-02-15
2021-02-18,6.0,3.0,2021-02-15
2021-02-19,12.0,2.0,2021-02-15
2021-02-20,6.0,0.0,2021-02-15
2021-02-21,2.0,0.0,2021-02-15
2021-02-22,4.0,0.0,2021-02-22
2021-02-23,3.0,0.0,2021-02-22
2021-02-24,8.0,1.0,2021-02-22
2021-02-25,11.0,0.0,2021-02-22
2021-02-26,4.0,0.0,2021-02-22
2021-02-27,3.0,0.0,2021-02-22
2021-02-28,3.0,0.0,2021-02-22
2021-03-01,2.0,0.0,2021-03-01
2021-03-02,8.0,0.0,2021-03-01
2021-03-03,4.0,2.0,2021-03-01
2021-03-04,6.0,0.0,2021-03-01
2021-03-05,2.0,0.0,2021-03-01
2021-03-06,7.0,0.0,2021-03-01
2021-03-07,6.0,0.0,2021-03-01
2021-03-08,1.0,0.0,2021-03-08
2021-03-09,12.0,0.0,2021-03-08
2021-03-10,9.0,0.0,2021-03-08
2021-03-11,3.0,0.0,2021-03-08
2021-03-12,3.0,0.0,2021-03-08
2021-03-13,3.0,0.0,2021-03-08
2021-03-14,1.0,0.0,2021-03-08
2021-03-15,7.0,0.0,2021-03-15
2021-03-16,7.0,0.0,2021-03-15
2021-03-17,7.0,0.0,2021-03-15
2021-03-18,8.0,0.0,2021-03-15
2021-03-19,2.0,0.0,2021-03-15
2021-03-20,8.0,0.0,2021-03-15
2021-03-21,3.0,1.0,2021-03-15
2021-03-22,1.0,0.0,2021-03-22
2021-03-23,5.0,0.0,2021-03-22
2021-03-24,4.0,0.0,2021-03-22
2021-03-25,1.0,0.0,2021-03-22
2021-03-26,9.0,1.0,2021-03-22
2021-03-27,2.0,0.0,2021-03-22
2021-03-28,3.0,0.0,2021-03-22
2021-03-29,2.0,0.0,2021-03-29
2021-03-30,5.0,0.0,2021-03-29
2021-03-31,5.0,0.0,2021-03-29
2021-04-01,6.0,0.0,2021-03-29
2021-04-02,2.0,0.0,2021-03-29
2021-04-03,2.0,0.0,2021-03-29
2021-04-04,1.0,0.0,2021-03-29
2021-04-05,1.0,0.0,2021-04-05
2021-04-06,1.0,0.0,2021-04-05
2021-04-07,5.0,0.0,2021-04-05
2021-04-08,13.0,0.0,2021-04-05
2021-04-09,7.0,0.0,2021-04-05
2021-04-10,9.0,0.0,2021-04-05
2021-04-11,5.0,0.0,2021-04-05
