date,school_intervention,occ_intervention,vaccines,t
2020-10-26,1,0,0.0,0
2020-10-27,1,0,0.0,1
2020-10-28,1,0,0.0,2
2020-10-29,1,0,0.0,3
2020-10-30,1,0,0.0,4
2020-10-31,1,0,0.0,5
2020-11-01,1,0,0.0,6
2020-11-02,1,0,0.0,7
2020-11-03,1,0,0.0,8
2020-11-04,1,0,0.0,9
2020-11-05,1,0,0.0,10
2020-11-06,1,0,0.0,11
2020-11-07,1,0,0.0,12
2020-11-08,1,0,0.0,13
2020-11-09,1,0,0.0,14
2020-11-10,1,0,0.0,15
2020-11-11,1,0,0.0,16
2020-11-12,1,0,0.0,17
2020-11-13,1,0,0.0,18
2020-11-14,1,0,0.0,19
2020-11-15,1,0,0.0,20
2020-11-16,1,0,0.0,21
2020-11-17,1,0,0.0,22
2020-11-18,1,0,0.0,23
2020-11-19,1,0,0.0,24
2020-11-20,1,0,0.0,25
2020-11-21,1,0,0.0,26
2020-11-22,1,0,0.0,27
2020-11-23,1,0,0.0,28
2020-11-24,1,0,0.0,29
2020-11-25,1,0,0.0,30
2020-11-26,1,0,0.0,31
2020-11-27,1,0,0.0,32
2020-11-28,1,0,0.0,33
2020-11-29,1,0,0.0,34
2020-11-30,1,0,0.0,35
2020-12-01,1,0,0.0,36
2020-12-02,1,0,0.0,37
2020-12-03,1,0,0.0,38
2020-12-04,1,0,0.0,39
2020-12-05,1,0,0.0,40
2020-12-06,1,0,0.0,41
2020-12-07,1,0,0.0,42
2020-12-08,1,0,0.0,43
2020-12-09,1,0,0.0,44
2020-12-10,1,0,0.0,45
2020-12-11,1,0,0.0,46
2020-12-12,1,0,0.0,47
2020-12-13,1,0,0.0,48
2020-12-14,1,0,0.0,49
2020-12-15,1,0,0.0,50
2020-12-16,1,0,0.0,51
2020-12-17,1,0,0.0,52
2020-12-18,1,0,0.0,53
2020-12-19,1,0,0.0,54
2020-12-20,1,0,0.0,55
2020-12-21,1,0,0.0,56
2020-12-22,1,0,0.0,57
2020-12-23,1,0,0.0,58
2020-12-24,1,0,0.0,59
2020-12-25,1,0,0.0,60
2020-12-26,1,0,0.0,61
2020-12-27,1,1,0.0,62
2020-12-28,1,1,0.0,63
2020-12-29,1,1,0.0,64
2020-12-30,1,1,0.0,65
2020-12-31,1,1,0.0,66
2021-01-01,1,1,0.0,67
2021-01-02,1,1,0.0,68
2021-01-03,1,0,0.0,69
2021-01-04,1,0,0.0,70
2021-01-05,1,0,0.0,71
2021-01-06,1,0,0.0,72
2021-01-07,1,0,0.0,73
2021-01-08,1,0,0.0,74
2021-01-09,1,0,0.0,75
2021-01-10,1,0,0.0,76
2021-01-11,1,0,0.0,77
2021-01-12,1,0,0.0,78
2021-01-13,1,0,0.0,79
2021-01-14,1,0,0.0,80
2021-01-15,1,0,0.0,81
2021-01-16,1,0,0.0,82
2021-01-17,1,0,0.0,83
2021-01-18,1,0,0.0,84
2021-01-19,1,0,0.0,85
2021-01-20,1,0,0.0,86
2021-01-21,1,0,1866.0,87
2021-01-22,1,0,296.0,88
2021-01-23,1,0,272.0,89
2021-01-24,1,0,2.0,90
2021-01-25,1,0,0.0,91
2021-01-26,1,0,46.0,92
2021-01-27,1,0,12.0,93
2021-01-28,1,0,0.0,94
2021-01-29,1,0,115.0,95
2021-01-30,1,0,5.0,96
2021-01-31,1,0,15.0,97
2021-02-01,1,0,58.0,98
2021-02-02,1,0,29.0,99
2021-02-03,1,0,81.0,100
2021-02-04,1,0,67.0,101
2021-02-05,1,0,94.0,102
2021-02-06,1,0,49.0,103
2021-02-07,1,0,1.0,104
2021-02-08,1,0,101.0,105
2021-02-09,1,0,36.0,106
2021-02-10,1,0,105.0,107
2021-02-11,1,0,416.0,108
2021-02-12,1,0,23.0,109
2021-02-13,1,0,28.0,110
2021-02-14,1,0,47.0,111
2021-02-15,1,0,46.0,112
2021-02-16,1,0,19.0,113
2021-02-17,1,0,6.0,114
2021-02-18,1,0,31.0,115
